Episode,Steps,Reward,AvgSpeed,Energy,Success
1,2,-90.29,33.52,0.00,0
2,1,-90.00,0.00,0.00,0
3,3,-90.76,52.90,0.00,0
4,2,-90.62,12.45,0.00,0
5,7,89.30,0.00,0.00,1
6,59,-62.56,0.00,1.00,False
7,2,-91.11,17.93,118.84,0
8,1,-90.24,10.00,46.15,0
9,1,-90.17,22.59,0.00,0
10,19,86.22,48.13,0.00,1
11,4,-90.90,8.70,0.00,0
12,1,-90.00,18.43,0.00,0
13,3,-91.00,20.75,0.00,0
14,9,-91.50,13.61,0.00,0
15,7,-91.92,18.89,0.00,0
16,4,-90.71,0.00,0.00,0
17,1,-90.16,5.74,0.00,0
18,1,-90.04,19.46,0.00,0
19,59,-61.56,0.00,1.00,False
20,2,-90.61,25.76,-45.78,0
21,4,-90.70,24.48,0.00,0
22,59,-61.81,0.00,1.00,False
23,55,-58.98,0.00,1.00,False
24,3,-90.66,37.35,0.00,0
25,1,-90.02,28.26,0.00,0
26,1,-90.02,23.12,0.00,0
27,1,-90.01,38.13,0.00,0
28,3,-89.96,30.30,-80.12,0
29,2,-90.66,21.36,0.00,0
30,2,-91.37,31.55,189.28,0
31,52,-61.93,0.00,1.00,False
32,2,-91.20,39.29,236.48,0
33,3,-90.32,23.98,0.00,0
34,4,-90.43,0.00,0.00,0
35,5,-90.79,44.32,0.00,0
36,3,-90.90,49.10,0.00,0
37,3,-90.56,15.38,0.00,0
38,1,-90.00,0.00,0.00,0
39,57,-62.90,0.00,1.00,False
40,1,-90.00,0.00,0.00,0
41,2,-90.38,0.00,0.00,0
42,3,-90.48,47.14,0.00,0
43,3,-91.14,26.06,-57.23,0
44,3,-90.90,8.05,30.30,0
45,2,-90.09,0.00,0.00,0
46,54,-59.73,0.00,1.00,False
47,1,-90.24,18.47,0.00,0
48,1,-90.00,18.11,0.00,0
49,57,-61.07,0.00,1.00,False
50,9,-91.62,11.54,63.14,0
51,6,-91.45,24.59,-91.56,0
52,5,-90.41,26.99,-68.04,0
53,4,-90.64,54.87,0.00,0
54,2,-90.47,27.65,0.00,0
55,1,-90.30,10.75,51.81,0
56,1,-90.00,0.00,0.00,0
57,3,-90.73,48.55,0.00,0
58,7,-90.61,26.51,0.00,0
59,1,-90.00,0.00,0.00,0
60,4,-90.95,38.63,0.00,0
61,1,-90.08,22.34,0.00,0
62,56,-61.91,0.00,1.00,False
63,6,-92.22,0.00,0.00,0
64,1,-90.35,11.91,65.56,0
65,1,-90.00,0.00,0.00,0
66,6,-91.56,47.21,0.00,0
67,3,-90.96,15.31,43.09,0
68,1,-90.23,26.68,0.00,0
69,3,-90.59,38.16,0.00,0
70,51,-61.04,0.00,1.00,False
71,1,-90.00,6.15,0.00,0
72,4,87.86,33.36,-45.78,1
73,10,88.29,39.34,-22.89,1
74,6,-91.51,33.20,0.00,0
75,5,-91.02,4.15,0.00,0
76,5,-90.75,9.30,0.00,0
77,1,-90.00,26.98,0.00,0
78,5,-91.12,51.84,0.00,0
79,2,-90.89,20.75,0.00,0
80,1,-90.04,18.96,0.00,0
81,2,-91.17,13.43,86.24,0
82,9,88.86,22.31,0.00,1
83,9,-92.37,41.37,0.00,0
84,2,-90.04,41.32,0.00,0
85,1,-90.22,2.93,2.87,0
86,6,-91.52,21.60,17.83,0
87,17,-94.16,40.27,0.00,0
88,62,-64.91,0.00,1.00,False
89,2,-90.27,31.29,0.00,0
90,57,-61.92,0.00,1.00,False
91,1,-90.12,20.24,6.87,0
92,8,-91.10,7.30,-19.05,0
93,5,89.00,55.60,92.33,1
94,4,-90.83,55.60,23.08,0
95,4,-91.16,13.95,3.35,0
96,3,-90.75,47.58,0.00,0
97,2,-91.05,26.81,111.33,0
98,4,-91.02,34.88,0.00,0
99,1,-90.47,13.84,89.88,0
100,1,-90.17,31.22,0.00,0
101,8,-91.47,20.75,0.00,0
102,3,-90.73,42.91,0.00,0
103,1,-90.15,37.40,0.00,0
104,3,-91.70,55.60,138.50,0
105,1,-90.13,17.56,0.00,0
106,1,-90.01,14.60,0.00,0
107,2,-90.15,53.14,0.00,0
108,5,-91.28,53.90,2.43,0
109,1,-90.27,39.61,0.00,0
110,4,90.18,0.00,0.00,1
111,3,-90.25,34.61,-80.12,0
112,3,-90.66,0.00,0.00,0
113,3,-90.66,24.90,0.00,0
114,3,-90.63,12.45,0.00,0
115,1,-90.05,27.32,0.00,0
116,54,-63.13,0.00,1.00,False
117,1,-90.39,12.25,69.54,0
118,2,-90.47,0.00,0.00,0
119,2,-90.87,21.05,82.87,0
120,2,-90.73,0.00,0.00,0
121,8,88.12,37.97,-11.45,1
122,2,-90.54,44.74,0.00,0
123,1,-90.00,0.00,0.00,0
124,5,-91.69,9.85,46.19,0
125,4,-90.92,17.40,0.00,0
126,2,-90.62,8.30,0.00,0
127,55,-63.30,0.00,1.00,False
128,10,-93.16,24.85,-22.89,0
129,2,-90.82,25.95,0.00,0
130,13,-92.89,24.90,0.00,0
131,3,-90.08,0.00,0.00,0
132,7,-92.08,55.60,69.25,0
133,4,-90.87,0.00,0.00,0
134,5,-90.97,5.05,11.80,0
135,10,-91.98,25.66,73.44,0
136,12,-92.71,55.60,92.33,0
137,2,-90.31,40.82,-11.45,0
138,5,-91.28,18.88,103.47,0
139,2,-90.12,46.09,0.00,0
140,3,-90.52,42.91,0.00,0
141,3,-90.97,33.20,0.00,0
142,4,-91.02,42.57,0.00,0
143,2,-90.31,42.98,16.53,0
144,4,-91.12,12.45,0.00,0
145,1,-90.00,9.62,0.00,0
146,3,-90.76,37.35,0.00,0
147,1,-90.33,0.48,0.15,0
148,63,-61.48,0.00,1.00,False
149,54,-58.85,0.00,1.00,False
150,7,-90.82,44.49,0.00,0
151,2,-90.15,38.94,0.00,0
152,1,-90.15,7.17,22.15,0
153,4,-90.76,12.08,-9.11,0
154,52,-61.85,0.00,1.00,False
155,4,-90.81,22.23,0.00,0
156,7,-91.54,28.46,67.96,0
157,7,-91.05,48.42,0.00,0
158,54,-62.43,0.00,1.00,False
159,1,-90.09,39.84,0.00,0
160,6,-91.66,33.20,0.00,0
161,2,-90.54,44.44,0.00,0
162,2,-91.00,24.86,0.00,0
163,2,-90.25,40.39,-4.10,0
164,5,-90.73,19.39,0.00,0
165,6,-91.47,26.09,-91.56,0
166,2,-90.99,22.15,32.04,0
167,57,-60.67,0.00,1.00,False
168,1,-90.00,0.00,0.00,0
169,2,-90.75,6.89,-51.46,0
170,1,-90.50,26.84,0.00,0
171,8,-91.45,16.60,0.00,0
172,2,-90.70,0.00,0.00,0
173,53,-61.37,0.00,1.00,False
174,6,-91.81,21.44,17.42,0
175,1,-90.00,0.00,0.00,0
176,1,-90.00,0.00,0.00,0
177,3,-90.76,20.75,0.00,0
178,1,-90.50,1.35,0.01,0
179,2,-91.20,15.12,-11.36,0
180,52,-60.87,0.00,1.00,False
181,2,-90.72,20.75,0.00,0
182,1,-90.00,0.00,0.00,0
183,1,-90.35,11.05,55.32,0
184,58,-63.30,0.00,1.00,False
185,2,-90.96,21.50,0.00,0
186,60,-63.62,0.00,1.00,False
187,3,-90.63,29.82,-22.89,0
188,9,-91.20,33.49,0.00,0
189,4,-91.36,31.00,0.00,0
190,1,-90.00,0.00,0.00,0
191,4,-91.04,12.45,0.00,0
192,3,-90.74,0.00,0.00,0
193,2,-90.06,0.00,0.00,0
194,18,-92.95,54.09,-11.45,0
195,1,-90.30,21.65,0.00,0
196,55,-60.34,0.00,1.00,False
197,4,88.61,0.00,0.00,1
198,7,-91.60,51.37,0.00,0
199,10,-92.78,20.17,0.00,0
200,4,-90.95,33.50,66.70,0
201,55,-59.92,0.00,1.00,False
202,60,-62.34,0.00,1.00,False
203,53,-60.01,0.00,1.00,False
204,8,-91.49,37.35,0.00,0
205,1,-90.03,35.21,0.00,0
206,1,-90.03,14.61,0.00,0
207,6,-91.26,15.48,0.00,0
208,1,-90.06,31.97,0.00,0
209,4,-90.98,33.36,-45.78,0
210,14,87.72,14.71,-11.06,1
211,2,-90.52,12.45,0.00,0
212,8,-92.43,26.74,39.34,0
213,1,-90.22,26.47,0.00,0
214,1,-90.04,22.33,0.00,0
215,2,-90.71,14.81,43.38,0
216,3,-90.79,14.40,0.00,0
217,3,-90.94,13.37,0.00,0
218,1,-90.05,18.86,0.00,0
219,2,-90.58,20.50,0.00,0
220,12,-92.53,33.20,0.00,0
221,3,-90.28,55.60,23.08,0
222,5,-90.77,44.32,0.00,0
223,1,-90.00,0.00,0.00,0
224,1,-90.15,35.97,0.00,0
225,1,-90.00,0.00,0.00,0
226,2,-90.57,46.11,0.00,0
227,51,-60.62,0.00,1.00,False
228,1,-90.50,26.43,0.00,0
229,10,-91.89,23.81,0.00,0
230,7,-92.11,8.77,-52.76,0
231,2,-90.51,48.45,0.00,0
232,5,-90.95,25.17,0.00,0
233,1,-90.00,0.00,0.00,0
234,3,-90.86,35.16,-11.45,0
235,7,88.05,48.42,0.00,1
236,6,-91.58,22.11,0.00,0
237,8,-92.01,31.19,0.00,0
238,5,-92.05,52.78,0.00,0
239,4,-90.75,47.14,0.00,0
240,3,-91.00,26.88,0.00,0
241,16,-93.15,32.95,0.00,0
242,12,-93.62,12.57,41.24,0
243,8,-91.56,54.92,9.86,0
244,20,-92.86,39.28,0.00,0
245,12,87.06,29.05,-34.34,1
246,2,-90.85,23.31,-32.74,0
247,16,88.20,0.00,0.00,1
248,1,-90.51,23.30,90.54,0
249,3,-91.16,14.08,95.04,0
250,2,-90.62,37.89,0.00,0
251,14,-93.85,34.84,0.00,0
252,3,-90.85,0.00,0.00,0
253,4,-91.60,55.60,69.25,0
254,1,-90.16,27.23,0.00,0
255,3,-90.55,0.00,0.00,0
256,3,-90.09,50.12,0.00,0
257,7,-91.53,23.35,0.00,0
258,2,-90.55,39.57,0.00,0
259,1,-90.60,19.56,107.84,0
260,1,-90.15,26.80,0.00,0
261,1,-90.04,18.23,0.00,0
262,11,-91.90,14.01,93.96,0
263,9,88.77,44.32,0.00,1
264,2,-90.01,52.01,0.00,0
265,1,-90.49,12.91,78.40,0
266,14,87.69,49.96,0.00,1
267,2,-90.49,14.44,53.66,0
268,7,-90.69,15.73,-80.12,0
269,4,-90.83,50.04,-11.45,0
270,4,88.20,44.27,94.42,1
271,55,-61.10,0.00,1.00,False
272,2,-91.41,46.37,194.79,0
273,3,-91.15,24.60,0.00,0
274,1,-90.10,23.22,0.00,0
275,12,88.00,20.75,0.00,1
276,1,-90.45,1.38,-0.56,0
277,2,-90.77,16.83,0.00,0
278,9,-92.25,29.39,0.00,0
279,5,-91.18,33.20,0.00,0
280,12,-93.35,51.02,0.00,0
281,58,-62.17,0.00,1.00,False
282,8,-91.30,53.59,-11.45,0
283,7,-91.27,31.83,0.00,0
284,7,-91.33,20.75,0.00,0
285,9,-92.46,55.08,174.91,0
286,2,-90.16,48.20,0.00,0
287,7,-91.49,51.37,0.00,0
288,2,-90.53,15.82,0.00,0
289,2,-89.99,27.75,-55.72,0
290,6,-90.75,33.20,0.00,0
291,1,-90.00,0.00,0.00,0
292,1,-90.00,0.00,0.00,0
293,2,-90.26,31.39,0.00,0
294,1,-90.37,1.20,-0.29,0
295,14,-92.31,55.60,184.66,0
296,2,-90.43,21.41,-57.23,0
297,11,-92.31,16.05,124.22,0
298,1,-90.41,12.74,75.19,0
299,7,88.41,55.60,69.25,1
300,22,85.07,35.11,0.00,1
301,7,89.15,0.00,0.00,1
302,1,-90.72,18.94,138.96,0
303,1,-90.14,2.36,1.59,0
304,1,-90.00,0.00,0.00,0
305,3,-90.71,0.00,0.00,0
306,10,-92.66,30.82,0.00,0
307,6,-90.91,0.00,0.00,0
308,5,-91.42,27.04,111.49,0
309,6,-91.48,16.60,0.00,0
310,1,-90.00,0.00,0.00,0
311,4,-91.09,31.71,0.00,0
312,6,-92.79,50.99,0.00,0
313,18,-94.17,0.00,0.00,0
314,3,-90.98,8.05,30.80,0
315,4,-91.03,17.28,72.50,0
316,7,88.04,53.80,31.75,1
317,3,-91.45,17.88,-22.89,0
318,9,-91.46,3.78,-4.87,0
319,1,-90.46,6.67,18.33,0
320,3,-91.24,17.97,47.77,0
321,7,-91.15,33.20,0.00,0
322,7,-91.81,27.85,0.00,0
323,3,-90.94,40.66,-11.45,0
324,3,-90.74,8.30,0.00,0
325,6,-92.13,29.61,0.00,0
326,4,-90.96,37.91,-22.89,0
327,54,-60.31,0.00,1.00,False
328,16,87.13,11.86,-78.54,1
329,2,-90.54,0.00,0.00,0
330,3,-91.18,42.44,0.00,0
331,5,89.27,27.14,0.00,1
332,12,-92.98,21.08,159.83,0
333,3,-90.76,16.32,0.00,0
334,2,-90.52,37.60,0.00,0
335,3,89.59,52.23,22.03,1
336,2,-90.83,29.39,0.00,0
337,2,-90.92,16.38,0.00,0
338,1,-90.01,11.32,0.00,0
339,4,-91.02,21.45,0.00,0
340,17,-92.35,0.00,0.00,0
341,3,-91.02,36.91,0.00,0
342,52,-60.60,0.00,1.00,False
343,3,-91.08,11.71,-18.81,0
344,5,-91.93,9.90,0.00,0
345,5,-91.47,24.90,0.00,0
346,5,-91.11,44.18,0.00,0
347,1,-90.16,35.04,0.00,0
348,4,90.25,22.94,-103.01,1
349,6,-91.51,15.68,-34.34,0
350,7,-91.18,51.37,0.00,0
351,10,-92.36,11.57,-29.45,0
352,2,-90.34,0.00,0.00,0
353,1,-90.00,0.00,0.00,0
354,2,-90.86,37.35,0.00,0
355,5,88.59,53.83,-11.45,1
356,7,-91.58,10.96,57.66,0
357,7,-92.47,39.93,116.31,0
358,14,-91.82,33.20,0.00,0
359,3,-91.20,17.46,-45.78,0
360,2,-90.64,49.24,0.00,0
361,2,-90.76,29.05,0.00,0
362,8,88.32,42.91,0.00,1
363,1,-90.08,20.21,0.00,0
364,10,-92.86,19.71,26.09,0
365,2,-90.60,12.72,-28.46,0
366,4,-90.81,8.30,0.00,0
367,3,-90.84,24.90,0.00,0
368,5,-91.05,7.54,-3.02,0
369,2,-90.27,0.00,0.00,0
370,8,-91.55,0.00,0.00,0
371,3,-90.50,0.00,0.00,0
372,1,-90.05,38.93,0.00,0
373,6,-91.26,23.08,0.00,0
374,1,-90.00,0.00,0.00,0
375,1,-90.00,0.00,0.00,0
376,4,-91.56,0.00,0.00,0
377,7,-91.21,0.00,0.00,0
378,10,-92.52,27.94,0.00,0
379,4,-90.93,28.69,-80.12,0
380,4,-90.99,11.02,37.19,0
381,2,-90.38,12.79,14.88,0
382,54,-62.57,0.00,1.00,False
383,1,-90.00,0.00,0.00,0
384,5,89.35,37.35,0.00,1
385,6,-91.38,24.52,0.00,0
386,3,-90.99,18.03,135.28,0
387,3,-91.09,20.35,58.67,0
388,3,-91.31,33.20,-22.89,0
389,1,-90.51,22.96,0.00,0
390,1,-90.00,0.00,0.00,0
391,2,-90.76,33.20,0.00,0
392,2,-90.95,17.61,75.45,0
393,13,86.04,0.00,0.00,1
394,2,-90.57,0.00,0.00,0
395,1,-90.11,39.56,0.00,0
396,10,-91.17,45.73,0.00,0
397,8,88.05,34.69,0.00,1
398,5,89.66,49.56,0.00,1
399,1,-90.00,0.00,0.00,0
400,7,-90.99,22.55,0.00,0
401,1,-90.00,0.00,0.00,0
402,3,-90.85,42.08,0.00,0
403,9,-91.34,27.87,0.00,0
404,3,-91.14,12.80,77.98,0
405,7,-90.57,10.97,-8.05,0
406,2,-90.48,7.25,24.70,0
407,6,-91.61,0.00,0.00,0
408,11,87.30,23.49,81.46,1
409,5,-91.29,13.63,89.03,0
410,8,-91.48,22.28,-34.34,0
411,3,-91.05,17.95,0.00,0
412,1,-90.00,0.00,0.00,0
413,21,85.14,27.56,-45.78,1
414,5,-92.09,55.60,138.50,0
415,6,88.68,32.65,-22.89,1
416,4,-90.87,19.38,101.62,0
417,6,-90.96,44.32,0.00,0
418,5,-91.28,24.90,0.00,0
419,3,-90.94,29.95,0.00,0
420,2,-90.60,1.74,1.48,0
421,3,-90.90,8.43,0.00,0
422,6,-91.77,22.57,49.40,0
423,6,87.83,55.60,46.17,1
424,1,-90.00,0.00,0.00,0
425,3,-90.91,26.09,0.00,0
426,1,-90.03,31.36,0.00,0
427,16,-93.01,19.80,0.00,0
428,9,-91.27,12.45,0.00,0
429,11,87.00,49.96,0.00,1
430,16,-94.06,26.33,0.00,0
431,1,-90.00,0.00,0.00,0
432,3,-90.49,31.76,0.00,0
433,1,-90.38,12.22,68.17,0
434,1,-90.09,3.95,6.82,0
435,52,-60.08,0.00,1.00,False
436,6,-91.50,37.94,0.00,0
437,10,-92.31,13.02,-25.98,0
438,7,-91.65,42.91,0.00,0
439,2,-90.65,21.09,0.00,0
440,2,-90.63,11.97,0.00,0
441,7,-92.32,0.00,0.00,0
442,3,-90.61,29.05,0.00,0
443,1,-90.22,5.44,11.79,0
444,9,87.52,32.12,0.00,1
445,7,-91.98,14.90,-11.20,0
446,8,-91.34,24.90,0.00,0
447,9,-91.23,40.21,0.00,0
